,SRC_obs,SubId,DrainArea,DA_error,Obs_NM,Use_region,DA_Obs,Region,Sub_Reg,DI,CheckArea,AreaError
43,US,1000633,13185233057.2,0.99236326983,07281000,0,13286.7,0001,00067,87.1159124265016,13185233057.227688,2.0998546353935923e-12
44,US,1001799,220084536.918,0.98464339141,07281960,0,223.517,0001,00067,0.0,220084536.91772002,1.272205774896027e-12
45,US,1001623,27459249.7645,1.00971685106,07285900,0,27.195,0001,00067,0.0,27459249.764476,8.739612446993099e-13
46,US,1002138,81105631.7842,1.01015857248,07286000,0,80.29,0001,00067,0.0,81105631.784236,4.4388046369116935e-13
47,US,1001963,675703402.413,1.02712340378,07283000,0,657.86,0001,00067,0.0,675703402.4128071,2.854516194596169e-13
48,US,1002423,146728772.778,1.05105817851,07280340,0,139.601,0001,00067,0.0,146728772.77834,2.3173007562440163e-12
49,US,1031566,414255628707.0,0.99965161367,07265280,1,414400.0,0001,00053,17.863468818721444,414255628707.4573,1.1038483461341876e-12
50,US,1002382,98302406.6795,1.02303496425,07280270,0,96.089,0001,00067,0.0,98302406.67946,4.068538909193117e-13
51,US,1002097,305588202.916,0.99989595876,07280400,0,305.62,0001,00067,0.0,305588202.91564995,1.1455222270543376e-12
52,US,1001763,81324812.5171,1.01946563352,07280460,0,79.772,0001,00067,0.0,81324812.51708001,2.45894920666909e-13
53,US,1002725,229359465.61,0.91200595497,07274252,0,251.489,0001,00067,0.0,229359465.61078796,3.435409127382978e-12
54,US,1001674,1570628320.31,1.08289321588,07275000,0,1450.4,0001,00067,657.3831569450223,1570628320.3146186,2.9406350659994924e-12
55,US,1001026,5266127354.88,1.0268958611,07280000,0,5128.2,0001,00067,115.62057595861508,5266127354.883073,5.834911388182629e-13
56,US,1002190,198259901.522,0.70877985672,07288000,0,279.72,0001,00067,0.0,198259901.52192,4.0360776433696827e-13
57,US,1002547,201746122.638,0.98351333137,07275530,0,205.128,0001,00067,0.0,201746122.63785702,7.087697198163097e-13
58,US,1001669,165104415.653,0.96149138206,07275500,0,171.717,0001,00067,0.0,165104415.653477,2.889177556219912e-12
59,US,1000849,4827695603.64,0.98192749055,07279950,0,4916.55,0001,00067,137.5965238589796,4827695603.636942,6.335183043456255e-13
60,US,1002761,651689123.023,0.96037183976,07274000,0,678.58,0001,00067,0.0,651689123.022766,3.590789336834225e-13
61,US,1092326,369667949.421,0.99810446154,03591800,0,370.37,0001,00039,62.828688284087825,369667949.42136,9.738795451627213e-13
62,US,1031824,409711152502.0,0.99490335956,07263650,1,411810.0,0001,00053,18.423952615406794,409711152502.9342,2.280152970837033e-12
63,US,1002134,4506905454.57,0.96565923203,07273550,0,4667.18,0001,00067,496.9405255298652,4506905454.565578,9.809910980884335e-13
64,US,1093183,140551183.926,1.08533732761,03573182,0,129.5,0001,00039,0.0,140551183.926,0.0
65,US,1093174,233458590.043,0.98404423312,03573000,0,237.244,0001,00039,0.0,233458590.0434,1.7132673023151056e-12
66,US,1002451,4241758642.21,0.93585408543,07273500,0,4532.5,0001,00067,560.0426463793058,4241758642.214039,9.521547713229169e-13
67,US,1002639,24338406.9604,1.0050340454,07271500,0,24.2165,0001,00067,0.0,24338406.9604,0.0
68,US,1002790,30743148.3209,1.1524214987,07271000,0,26.677,0001,00067,0.0,30743148.3209,0.0
69,US,1002768,90646637.0006,0.99711400412,07273100,0,90.909,0001,00067,0.0,90646637.00051999,8.825957266262235e-13
70,US,1091035,223687731.154,1.00076383968,03576500,0,223.517,0001,00039,0.0,223687731.15419,8.493528198502638e-13
71,US,1092987,364974017.446,0.99940857484,03572900,0,365.19,0001,00039,0.0,364974017.44556,1.2055693465824164e-12
72,US,1002526,4057614948.33,0.98222363523,07273000,0,4131.05,0001,00067,611.513573426643,4057614948.3271995,6.901750574631399e-13
73,US,1002952,46608436.5518,0.81060970037,07266000,0,57.498,0001,00067,0.0,46608436.55172001,1.7162007397453684e-12
74,US,1001583,3930411997.97,0.98222238832,07272500,0,4001.55,0001,00067,651.3721036983449,3930411997.965063,1.2560248394892657e-12
75,US,1090901,353984968.323,1.0049539187,03576148,0,352.24,0001,00039,0.0,353984968.323104,2.938263328688882e-13
76,US,1092619,17510951.4994,1.01061063302,03576810,0,17.3271,0001,00039,0.0,17510951.499360003,2.2841958037492186e-12
77,US,1002264,42519484.2535,0.58631390311,07279937,0,72.52,0001,00067,0.0,42519484.25349,2.3515523145718153e-13
78,US,1002303,3482018622.88,0.95755607885,07279800,0,3636.36,0001,00067,260.90548173324,3482018622.874678,1.5284178802878529e-12
79,US,1002701,74143213.2954,1.00444643088,07268500,0,73.815,0001,00067,0.0,74143213.29541,1.3505727466072594e-13
80,US,1092169,671609349.998,0.98596437013,03592000,0,681.17,0001,00039,18.971303159079234,671609349.99753,6.998744563340731e-13
81,US,1031509,2116110410.08,1.42339903547,07264500,0,1486.66,0001,00053,0.0,2116110410.0786858,6.210277128016823e-13
82,US,1091041,225390593.321,0.99341775234,03577000,0,226.884,0001,00039,0.0,225390593.32128,1.242256008588758e-12
83,US,1001907,1363025443.38,1.0005031368,07268000,0,1362.34,0001,00067,0.0,1363025443.3828144,2.0647398193360373e-12
84,US,1091328,210129627.264,1.0374824836,03592300,0,202.538,0001,00039,125.80046434866972,210129627.26419997,9.516677197080604e-13
85,US,1002644,25563074.9423,0.99095513104,07270500,0,25.7964,0001,00067,0.0,25563074.9423,0.0
86,US,1110975,1235407312.28,1.03919660188,07077952,0,1188.81,0001,00063,0.0,1235407312.2785716,1.1561901028101797e-12
87,US,1002562,70323213.7302,1.01312761093,07267000,0,69.412,0001,00067,0.0,70323213.7302,0.0
88,US,1111015,485341379.748,1.07080282349,07078000,0,453.25,0001,00063,33.63508436873746,485341379.7475599,9.068270610884339e-13
89,US,1091098,491820308.566,1.00471963508,03592200,0,489.51,0001,00039,173.76612062068267,491820308.5657509,5.06461010613048e-13
90,US,1111027,1193710180.9,1.02877670031,07077950,0,1160.32,0001,00063,0.0,1193710180.9006217,5.206935868211739e-13
91,US,1003000,83330103.9046,1.34618348499,07265500,0,61.901,0001,00067,0.0,83330103.9046,0.0
92,US,1091248,66237308431.2,0.99860407496,03575500,0,66329.8999998,0001,00039,52.12923956868397,66237308431.18111,2.8519245885415533e-13
93,US,1002304,3438336200.12,0.95164368058,07279700,0,3613.05,0001,00067,267.5047523057681,3438336200.114478,1.6059436804927554e-12
94,US,1003031,21002624.1352,0.98173381207,07270000,0,21.3934,0001,00067,0.0,21002624.13521,4.760680901923193e-13
95,US,1001770,207437815.926,1.2753474653,07277730,0,162.652,0001,00067,0.0,207437815.92635,1.6872452718358253e-12
